Year,Country,G,S,B,TOT
1896,Australia,2,0,0,2
1900,Australia,2,0,3,5
1908,Australasia,1,2,2,5
1912,Australasia,2,2,3,7
1920,Australia,0,2,1,3
1920,New Zealand,0,0,1,1
1924,Australia,3,1,2,6
1924,New Zealand,0,0,1,1
1928,Australia,1,2,1,4
1928,New Zealand,1,0,0,1
1932,Australia,3,1,1,5
1932,New Zealand,0,1,0,1
1936,Australia,0,0,1,1
1936,New Zealand,1,0,0,1
1948,Australia,2,6,5,13
1952,Australia,6,2,3,11
1952,New Zealand,1,0,2,3
1956,Australia,13,8,14,35
1956,New Zealand,2,0,0,2
1960,Australia,8,8,6,22
1960,New Zealand,2,0,1,3
1964,Australia,6,2,10,18
1964,New Zealand,3,0,2,5
1968,Australia,5,7,5,17
1968,New Zealand,1,0,2,3
1972,Australia,8,7,2,17
1972,New Zealand,1,1,1,3
1976,Australia,0,1,4,5
1976,New Zealand,2,1,1,4
1980,Australia,2,2,5,9
1984,Australia,4,8,12,24
1984,New Zealand,8,1,2,11
1988,Australia,3,6,5,14
1988,New Zealand,3,2,8,13
1992,Australia,7,9,11,27
1992,New Zealand,1,4,5,10
1996,Australia,9,9,23,41
1996,New Zealand,3,2,1,6
1996,Tonga,0,1,0,1
2000,Australia,16,25,17,58
2000,New Zealand,1,0,3,4
2004,Australia,17,16,16,49
2004,New Zealand,3,2,0,5
2008,Australia,14,15,17,46
2008,New Zealand,3,1,5,9
2012,Australia,7,16,12,35
2012,New Zealand,6,2,5,13
